Jugador;Temporada;Liga;Equipo;Posicion;FechaNacimiento;Edad;Altura;Lateralidad;ValorMercado;Nacionalidad;OtraNacionalidad;ImagenJugador
Aaron Hickey;25/26;Premier League;Brentford FC;Lateral derecho;2002;23;1.85;Ambidiestro;16;Escocia;;https://img.a.transfermarkt.technology/portrait/medium/591949-1684772165.jpg?lm=1
Aaron Ramsdale;25/26;Premier League;Newcastle United;Portero;1998;27;1.9;Derecho;12;Inglaterra;;https://img.a.transfermarkt.technology/portrait/medium/427568-1681828000.jpg?lm=1
Aaron Wan-Bissaka;25/26;Premier League;West Ham United;Lateral derecho;1997;28;1.83;Derecho;22;RD del Congo;Inglaterra;https://img.a.transfermarkt.technology/portrait/medium/477758-1769112496.jpg?lm=1
Aaron Zehnter;25/26;Bundesliga;VfL Wolfsburg;Lateral izquierdo;2004;21;1.8;Izquierdo;6;Alemania;;https://img.a.transfermarkt.technology/portrait/medium/730484-1752736438.jpg?lm=1
Aarón Anselmino;25/26;Ligue 1;RC Strasbourg Alsace;Defensa central;2005;20;1.86;Derecho;12;Argentina;;https://img.a.transfermarkt.technology/portrait/medium/1145504-1766483410.jpg?lm=1
Aarón Escandell;25/26;La Liga;Real Oviedo;Portero;1995;30;1.84;Derecho;2;España;;https://img.a.transfermarkt.technology/portrait/medium/284430-1583309348.jpg?lm=1
Aarón Martín;25/26;Serie A;Genoa CFC;Lateral izquierdo;1997;28;1.78;Izquierdo;7;España;;https://img.a.transfermarkt.technology/portrait/medium/251878-1730126148.jpg?lm=1
Abakar Sylla;25/26;Ligue 1;FC Nantes;Defensa central;2002;23;1.88;Izquierdo;3;Costa de Marfil;;https://img.a.transfermarkt.technology/portrait/medium/962555-1732575720.png?lm=1
Abdallah Sima;25/26;Ligue 1;RC Lens;Extremo izquierdo;2001;24;1.88;Derecho;4;Senegal;;https://img.a.transfermarkt.technology/portrait/medium/776798-1672669896.jpg?lm=1
Abdelhamid Ait Boudlal;25/26;Ligue 1;Stade Rennais FC;Defensa central;2006;19;1.9;Derecho;10;Marruecos;;https://img.a.transfermarkt.technology/portrait/medium/1134251-1758528519.jpg?lm=1
Abdelhamid Sabiri;25/26;Serie A;ACF Fiorentina;Mediocentro ofensivo;1996;29;1.86;Derecho;1;Marruecos;Alemania;https://img.a.transfermarkt.technology/portrait/medium/340394-1661514460.jpg?lm=1
Abdou Harroui;25/26;Serie A;Hellas Verona;Mediocentro;1998;28;1.82;Ambidiestro;1;Marruecos;Países Bajos;https://img.a.transfermarkt.technology/portrait/medium/416386-1730186775.jpg?lm=1
Abdoul Ouattara;25/26;Ligue 1;RC Strasbourg Alsace;Extremo derecho;2005;20;1.8;Desconocida;9;Costa de Marfil;Francia;https://img.a.transfermarkt.technology/portrait/medium/991487-1732487466.png?lm=1
