Jugador,PartidosJugados,MinutosJugados,Goles,GolesEsperados,TirosTotales,TirosAPuerta,TirosBloqueados,OcasionesClarasFalladas,PorcentajeConversionGol,TirosAlPalo,FuerasDeJuego,Asistencias,PaseAAsistencia,OcasionesClarasCreadas,PasesClave,RegatesExitosos,PorcentajeRegatesExitosos,FaltasRecibidas,PerdidasDeBalon,PasesAcertados,PorcentajePasesAcertados,PasesAcertadosUltimoTercio,CentrosAcertados,PorcentajeCentrosAcertados,BalonesLargosAcertados,PorcentajeBalonesLargosAcertados,DuelosTotalesGanados,PorcentajeDuelosTotalesGanados,DuelosEnSueloGanados,PorcentajeDuelosEnSueloGanados,DuelosAereosGanados,PorcentajeDuelosAereosGanados,Entradas,Intercepciones,Despejes,Regateado,Paradas,ParadasTirosArea,ParadasTirosFueraArea,GolesConcedidosDentroArea,GolesConcedidosFueraArea,SalidasAltas,SalidasExitosas,Salidas,DespejesPuños,ErrorQueProvocaTiro,ErrorQueProvocaGol,FaltasCometidas,TarjetasAmarillas,TarjetasRojas
Aaron Hickey,16,572,0,0.41,5,1,1,1,0.0,0,0,0,0,0,0,0,0.0,5,5,209,82.94,31,0,0.0,8,40.0,24,42.86,15,39.47,9,50.0,10,7,17,6,0,0,0,5,2,0,0,0,0,0,0,6,1,0
Aaron Ramsdale,7,553,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,0,0,134,72.04,4,0,0.0,26,33.77,2,100.0,0,0.0,2,100.0,0,0,5,0,10,7,3,9,1,5,2,2,3,0,0,0,0,0
Aaron Wan-Bissaka,15,1283,0,0.0,0,0,0,0,0.0,0,1,2,0,1,15,11,44.0,11,8,361,77.3,116,14,51.85,15,34.88,58,51.33,42,50.0,16,55.17,20,23,67,6,0,0,0,28,2,0,0,0,0,2,0,15,2,0
Aaron Zehnter,16,1208,2,0.52,8,3,1,1,25.0,0,0,0,0,1,15,4,66.67,0,0,397,78.93,63,12,52.17,34,44.74,24,48.0,16,66.67,8,30.77,12,16,40,6,0,0,0,23,2,0,0,0,0,1,0,1,0,0
Aarón Anselmino,6,368,1,0.07,1,1,0,0,100.0,0,0,0,0,0,0,1,50.0,3,0,186,87.32,29,0,0.0,2,28.57,22,55.0,13,52.0,9,60.0,9,5,15,5,0,0,0,2,0,0,0,0,0,1,0,6,0,0
Aarón Escandell,22,1980,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,100.0,5,0,507,67.69,20,0,0.0,159,40.66,9,100.0,5,100.0,4,100.0,0,0,31,0,102,74,26,30,4,14,19,21,9,2,1,1,2,0
Aarón Martín,20,1604,1,0.36,6,3,2,0,16.67,0,0,4,0,8,53,10,50.0,20,11,459,79.0,122,52,36.36,30,32.61,65,50.0,60,56.07,5,21.74,30,9,33,4,0,0,0,25,2,0,0,0,0,0,0,24,2,0
Abakar Sylla,1,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,1,100.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallah Sima,10,225,1,0.28,6,3,2,0,16.67,0,0,0,0,0,3,1,25.0,2,5,51,75.0,16,2,40.0,3,75.0,16,50.0,8,38.1,8,72.73,5,0,6,1,0,0,0,1,1,0,0,0,0,0,0,4,2,0
Abdelhamid Ait Boudlal,10,738,2,1.19,3,2,1,0,66.67,0,0,1,0,1,1,3,42.86,3,2,353,85.68,31,1,50.0,17,44.74,35,55.56,19,52.78,16,59.26,13,6,37,5,0,0,0,13,2,0,0,0,0,1,0,6,2,1
Abdelhamid Sabiri,1,25,0,0.01,1,0,0,0,0.0,0,0,0,0,0,3,0,0.0,1,1,13,68.42,6,2,50.0,0,0.0,3,50.0,3,50.0,0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Abdou Harroui,12,286,0,0.24,5,1,4,0,0.0,0,0,0,0,0,6,3,50.0,1,6,106,82.17,37,3,30.0,1,14.29,15,40.54,14,46.67,1,14.29,10,0,2,1,0,0,0,7,2,0,0,0,0,0,0,6,0,0
Abdoul Ouattara,17,1079,2,1.71,15,4,4,0,13.33,0,0,0,0,3,3,5,29.41,5,5,390,88.84,73,2,18.18,2,50.0,25,43.1,25,46.3,0,0.0,15,9,17,5,0,0,0,18,0,0,0,0,0,1,0,8,1,0
Abdoulaye Bamba,2,99,0,0.02,1,1,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,21,72.41,1,0,0.0,0,0.0,5,83.33,1,50.0,4,100.0,1,2,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Abdoulaye Faye,7,574,0,0.48,6,1,1,1,0.0,0,0,0,0,0,0,2,66.67,7,3,313,87.92,35,0,0.0,15,35.71,37,58.73,21,55.26,16,64.0,12,12,34,2,0,0,0,15,3,0,0,0,0,0,1,13,5,0
Abdoulaye Ndiaye,7,496,0,0.29,4,0,0,1,0.0,0,0,0,0,0,1,0,0.0,7,1,238,82.07,15,0,0.0,10,29.41,40,57.97,20,55.56,20,60.61,13,10,28,6,0,0,0,5,3,0,0,0,0,1,0,10,2,1
Abdoulaye Touré,11,741,2,1.5,13,4,5,2,15.38,1,0,0,0,0,3,3,33.33,17,7,259,87.21,76,1,7.69,21,80.77,39,54.17,32,55.17,7,50.0,12,9,16,1,0,0,0,8,0,0,0,0,0,1,0,13,2,0
Abdukodir Khusanov,10,650,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,2,66.67,5,1,430,91.68,64,0,0.0,20,51.28,27,58.7,24,68.57,3,27.27,17,16,27,2,0,0,0,6,1,0,0,0,0,0,0,7,2,0
Abdón Prats,9,88,0,0.76,3,1,2,1,0.0,0,0,0,0,0,2,1,100.0,2,2,12,80.0,5,0,0.0,0,0.0,5,35.71,3,37.5,2,33.33,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Abel Bretones,18,1376,1,0.63,11,3,1,0,9.09,0,1,0,0,0,9,13,52.0,17,9,311,76.23,101,8,34.78,21,40.38,71,56.35,60,55.05,11,64.71,30,15,41,15,0,0,0,14,5,0,0,0,0,0,0,13,5,1
Abu Francis,8,532,0,0.13,6,0,4,0,0.0,0,0,0,0,0,1,3,75.0,4,4,197,82.77,29,0,0.0,1,9.09,33,67.35,26,65.0,7,77.78,19,8,10,4,0,0,0,7,0,0,0,0,0,1,1,5,2,0
Abu Kamara,9,198,0,0.33,3,1,1,1,0.0,0,2,0,0,0,2,2,28.57,2,5,41,67.21,17,0,0.0,2,66.67,11,37.93,8,38.1,3,37.5,4,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0
Achraf Hakimi,10,729,2,1.55,14,5,5,2,14.29,0,2,0,0,1,10,4,16.67,8,8,643,91.99,266,5,20.83,11,57.89,24,35.82,24,36.92,0,0.0,12,4,5,6,0,0,0,5,1,0,0,0,0,0,0,7,2,1
Adam Boayar,6,105,1,0.3,5,2,1,0,20.0,0,1,0,0,0,2,1,25.0,1,4,34,91.89,20,0,0.0,3,100.0,7,38.89,5,33.33,2,66.67,3,1,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Adam Buksa,14,499,1,0.74,7,3,3,1,14.29,0,2,0,0,2,5,0,0.0,13,6,58,59.79,23,0,0.0,2,66.67,50,50.0,15,45.45,35,52.24,4,2,10,3,0,0,0,9,2,0,0,0,0,0,0,9,1,0
Adam Daghim,14,707,2,1.25,16,5,6,2,12.5,0,2,1,0,1,5,3,15.0,13,11,139,64.35,71,2,18.18,2,12.5,45,45.0,33,40.74,12,63.16,17,7,13,11,0,0,0,19,0,0,0,0,0,0,0,12,0,0
Adam Karabec,17,789,1,1.6,8,4,3,1,12.5,0,2,0,1,0,17,10,55.56,17,5,180,79.65,71,18,28.13,4,26.67,37,51.39,31,50.0,6,60.0,4,1,2,6,0,0,0,6,0,0,0,0,0,1,0,12,2,0
Adam Obert,21,1564,0,0.73,3,1,1,1,0.0,0,0,2,0,3,10,6,60.0,6,5,589,81.81,80,8,34.78,31,44.29,69,50.36,51,52.04,18,46.15,39,28,75,8,0,0,0,18,3,0,0,0,0,0,0,30,7,0
Adam Smith,13,730,0,0.0,0,0,0,0,0.0,0,0,1,0,1,2,0,0.0,4,1,166,73.78,43,0,0.0,8,20.0,21,42.0,11,39.29,10,45.45,7,6,25,6,0,0,0,13,2,0,0,0,0,0,0,12,2,0
Adam Wharton,21,1732,0,0.97,18,3,9,0,0.0,1,0,2,0,8,26,10,50.0,22,18,652,79.51,173,17,29.82,48,51.06,100,52.36,83,53.9,17,45.95,51,20,26,24,0,0,0,23,4,0,0,0,0,1,0,21,3,1
Adama Boiro,7,452,0,0.02,1,0,1,0,0.0,0,0,0,0,0,2,2,28.57,2,3,189,87.91,59,4,26.67,2,28.57,17,41.46,10,41.67,7,41.18,6,11,10,4,0,0,0,5,5,0,0,0,0,0,1,2,1,0
Adama Camara,18,1425,1,1.73,15,4,4,1,6.67,0,0,0,0,1,9,7,50.0,14,10,549,87.98,96,0,0.0,24,77.42,71,52.59,53,56.38,18,43.9,32,18,32,9,0,0,0,27,0,0,0,0,0,0,1,17,4,0
Adama Traoré,16,327,0,0.19,5,1,2,0,0.0,0,4,0,0,1,3,7,58.33,8,7,63,78.75,37,3,18.75,1,33.33,17,39.53,16,50.0,1,9.09,1,0,1,1,0,0,0,7,1,0,0,0,0,0,0,6,1,0
Ademola Lookman,12,797,2,2.68,27,8,14,5,7.41,0,4,0,1,4,18,16,53.33,8,11,191,79.58,91,6,30.0,4,66.67,31,44.29,28,43.75,3,50.0,5,3,0,2,0,0,0,10,3,0,0,0,0,0,0,10,0,0
Adnan Januzaj,10,259,0,0.13,4,0,4,0,0.0,0,1,0,0,0,10,7,43.75,9,3,95,87.96,52,7,28.0,10,62.5,20,51.28,20,51.28,0,0.0,4,1,1,0,0,0,0,8,0,0,0,0,0,0,0,7,1,0
Adrien Rabiot,16,1380,4,1.91,22,6,6,1,18.18,0,4,4,0,5,14,13,46.43,25,20,604,85.07,170,8,26.67,23,63.89,94,52.51,66,49.25,28,62.22,29,6,19,14,0,0,0,9,0,0,0,0,0,1,0,19,3,0
Adrien Thomasson,19,1652,2,4.37,26,8,8,7,7.69,1,2,5,0,7,44,8,33.33,27,23,703,83.0,191,21,31.34,28,50.91,98,42.61,88,43.56,10,35.71,53,11,20,38,0,0,0,10,4,0,0,0,0,0,0,42,6,0
Adrien Truffert,24,2120,0,0.34,9,1,4,0,0.0,0,0,1,0,1,17,22,44.9,21,16,800,83.07,241,20,20.41,25,33.78,146,53.87,113,55.67,33,48.53,70,30,92,23,0,0,0,33,7,0,0,0,0,1,1,24,3,0
Adrià Pedrosa,15,704,1,0.35,9,2,4,0,11.11,0,1,1,0,2,17,3,18.75,7,3,244,84.43,65,12,30.77,8,33.33,40,43.96,36,48.0,4,25.0,26,9,26,10,0,0,0,15,2,0,0,0,0,0,1,13,4,0
Adrián Bernabé,23,1802,2,1.83,36,8,14,2,5.56,1,1,1,0,6,42,10,34.48,43,15,734,84.27,227,14,21.88,47,66.2,81,50.94,79,54.11,2,15.38,26,10,15,23,0,0,0,24,4,0,0,0,0,0,0,10,0,0
Afonso Moreira,18,923,2,1.17,20,7,5,1,10.0,0,4,5,0,6,19,10,26.32,23,17,231,84.0,93,16,25.81,7,46.67,55,41.98,51,45.54,4,21.05,19,7,8,4,0,0,0,9,1,0,0,0,0,1,0,12,2,0
Aihen Muñoz,15,610,0,0.17,3,0,0,0,0.0,0,0,0,0,0,3,2,25.0,3,2,171,82.61,40,4,26.67,9,34.62,34,50.75,27,49.09,7,58.33,24,4,27,14,0,0,0,10,0,0,0,0,0,0,0,6,1,0
Aimar Oroz,16,1150,0,0.9,16,2,8,0,0.0,0,1,2,0,2,21,16,45.71,34,25,348,77.33,145,5,33.33,17,62.96,89,51.45,74,53.62,15,42.86,24,5,11,8,0,0,0,12,1,0,0,0,0,1,0,12,4,0
Ainsley Maitland-Niles,19,1559,1,2.17,11,5,1,3,9.09,0,1,3,0,3,14,8,42.11,9,12,609,86.75,142,3,9.38,32,56.14,63,45.32,55,47.41,8,34.78,38,21,46,13,0,0,0,16,3,0,0,0,0,1,0,28,3,1
